Dataset,Image Type,Classifier,facenet,arcface_ir18,arcface_irse50,arcface_ir152,magface_ir18,magface_ir50,magface_ir100,adaface_ir18,adaface_ir50,adaface_ir100,Average
CelebA,Nearest,Raw,0.674600,0.785206,0.829449,0.897393,0.777108,0.901047,0.905491,0.867964,0.902528,0.909639,0.845042
CelebA,Nearest,Captured,0.000000,0.000000,0.000198,0.000099,0.000099,0.000296,0.001876,0.004148,0.012147,0.016393,0.003526
CelebA,Nearest,Enhanced,0.001481,0.000889,0.004444,0.004049,0.001284,0.007604,0.008493,0.006913,0.012147,0.015702,0.006301
CelebA,Linear,Raw,0.652281,0.700770,0.693364,0.860458,0.757950,0.895813,0.902627,0.827079,0.888307,0.904405,0.808305
CelebA,Linear,Captured,0.000198,0.000198,0.000593,0.000395,0.000099,0.000296,0.000790,0.002568,0.005037,0.007110,0.001728
CelebA,Linear,Enhanced,0.001679,0.000494,0.002173,0.002568,0.001481,0.004148,0.004839,0.004148,0.006913,0.010369,0.003881
LFW,Nearest,Raw,0.938095,0.929762,0.978571,0.992262,0.919643,0.994643,0.993452,0.990476,0.992857,0.993452,0.972321
LFW,Nearest,Captured,0.001786,0.000595,0.004762,0.002976,0.000595,0.002381,0.003571,0.011905,0.016071,0.012500,0.005714
LFW,Nearest,Enhanced,0.007738,0.011905,0.023214,0.012500,0.008929,0.030952,0.029762,0.038690,0.050000,0.050595,0.026429
LFW,Linear,Raw,0.923810,0.926190,0.981548,0.986905,0.913691,0.991667,0.992857,0.973810,0.992857,0.993452,0.967679
LFW,Linear,Captured,0.000595,0.001786,0.005952,0.001786,0.001786,0.002381,0.003571,0.005357,0.011905,0.007143,0.004226
LFW,Linear,Enhanced,0.006548,0.005357,0.023810,0.008333,0.005952,0.017262,0.022619,0.025595,0.027976,0.040476,0.018393
